# vz_d,vx_d,trial_num,RREV
1.25,60.00,22.00,5.00
1.25,60.00,21.00,3.00
1.25,60.00,20.00,1.00
1.25,65.00,22.00,5.00
1.25,65.00,21.00,3.00
1.25,65.00,20.00,1.00
1.25,70.00,22.00,5.00
1.25,70.00,21.00,3.00
1.25,70.00,20.00,1.00
1.25,75.00,22.00,5.00
1.25,75.00,21.00,3.00
1.25,75.00,20.00,1.00
1.25,80.00,22.00,5.00
1.25,80.00,21.00,3.00
1.25,80.00,20.00,1.00
1.25,85.00,22.00,5.00
1.25,85.00,21.00,3.00
1.25,85.00,20.00,1.00
1.25,90.00,22.00,5.00
1.25,90.00,21.00,3.00
1.25,90.00,20.00,1.00
1.00,20.00,22.00,5.00
1.00,20.00,21.00,3.00
1.00,20.00,20.00,1.00
1.00,25.00,22.00,5.00
1.00,25.00,21.00,3.00
1.00,25.00,20.00,1.00
1.00,30.00,22.00,5.00
1.00,30.00,21.00,3.00
1.00,30.00,20.00,1.00
1.00,35.00,22.00,5.00
1.00,35.00,21.00,3.00
1.00,35.00,20.00,1.00
1.00,40.00,22.00,5.00
1.00,40.00,21.00,3.00
1.00,40.00,20.00,1.00
1.00,45.00,22.00,5.00
1.00,45.00,21.00,3.00
1.00,45.00,20.00,1.00
1.00,50.00,22.00,5.00
1.00,50.00,21.00,3.00
1.00,50.00,20.00,1.00
1.00,55.00,22.00,5.00
1.00,55.00,21.00,3.00
1.00,55.00,20.00,1.00
1.00,60.00,22.00,5.00
1.00,60.00,21.00,3.00
1.00,60.00,20.00,1.00
1.00,65.00,22.00,5.00
1.00,65.00,21.00,3.00
1.00,65.00,20.00,1.00
1.00,70.00,22.00,5.00
1.00,70.00,21.00,3.00
1.00,70.00,20.00,1.00
1.00,75.00,22.00,5.00
1.00,75.00,21.00,3.00
1.00,75.00,20.00,1.00
1.00,80.00,22.00,5.00
1.00,80.00,21.00,3.00
1.00,80.00,20.00,1.00
1.00,85.00,22.00,5.00
1.00,85.00,21.00,3.00
1.00,85.00,20.00,1.00
1.00,90.00,22.00,5.00
1.00,90.00,21.00,3.00
1.00,90.00,20.00,1.00
0.75,20.00,22.00,5.00
0.75,20.00,21.00,3.00
0.75,20.00,20.00,1.00
0.75,25.00,22.00,5.00
0.75,25.00,21.00,3.00
0.75,25.00,20.00,1.00
0.75,30.00,22.00,5.00
0.75,30.00,21.00,3.00
0.75,30.00,20.00,1.00
0.75,35.00,22.00,5.00
0.75,35.00,21.00,3.00
0.75,35.00,20.00,1.00
0.75,40.00,22.00,5.00
0.75,40.00,21.00,3.00
0.75,40.00,20.00,1.00
0.75,45.00,22.00,5.00
0.75,45.00,21.00,3.00
0.75,45.00,20.00,1.00
0.75,50.00,22.00,5.00
0.75,50.00,21.00,3.00
0.75,50.00,20.00,1.00
0.75,55.00,22.00,5.00
0.75,55.00,21.00,3.00
0.75,55.00,20.00,1.00
0.75,60.00,22.00,5.00
0.75,60.00,21.00,3.00
0.75,60.00,20.00,1.00
0.75,65.00,22.00,5.00
0.75,65.00,21.00,3.00
0.75,65.00,20.00,1.00
0.75,70.00,22.00,5.00
0.75,70.00,21.00,3.00
0.75,70.00,20.00,1.00
0.75,75.00,22.00,5.00
0.75,75.00,21.00,3.00
0.75,75.00,20.00,1.00
0.75,80.00,22.00,5.00
0.75,80.00,21.00,3.00
0.75,80.00,20.00,1.00
0.75,85.00,22.00,5.00
0.75,85.00,21.00,3.00
0.75,85.00,20.00,1.00
0.75,90.00,22.00,5.00
0.75,90.00,21.00,3.00
0.75,90.00,20.00,1.00
0.50,20.00,22.00,5.00
0.50,20.00,21.00,3.00
0.50,20.00,20.00,1.00
0.50,25.00,22.00,5.00
0.50,25.00,21.00,3.00
0.50,25.00,20.00,1.00
0.50,30.00,22.00,5.00
0.50,30.00,21.00,3.00
0.50,30.00,20.00,1.00
0.50,35.00,22.00,5.00
0.50,35.00,21.00,3.00
0.50,35.00,20.00,1.00
0.50,40.00,22.00,5.00
0.50,40.00,21.00,3.00
0.50,40.00,20.00,1.00
0.50,45.00,22.00,5.00
0.50,45.00,21.00,3.00
0.50,45.00,20.00,1.00
0.50,50.00,22.00,5.00
0.50,50.00,21.00,3.00
0.50,50.00,20.00,1.00
0.50,55.00,22.00,5.00
0.50,55.00,21.00,3.00
0.50,55.00,20.00,1.00
0.50,60.00,22.00,5.00
0.50,60.00,21.00,3.00
0.50,60.00,20.00,1.00
0.50,65.00,22.00,5.00
0.50,65.00,21.00,3.00
0.50,65.00,20.00,1.00
0.50,70.00,22.00,5.00
0.50,70.00,21.00,3.00
0.50,70.00,20.00,1.00
0.50,75.00,22.00,5.00
0.50,75.00,21.00,3.00
0.50,75.00,20.00,1.00
0.50,80.00,22.00,5.00
0.50,80.00,21.00,3.00
0.50,80.00,20.00,1.00
0.50,85.00,22.00,5.00
0.50,85.00,21.00,3.00
0.50,85.00,20.00,1.00
0.50,90.00,22.00,5.00
0.50,90.00,21.00,3.00
0.50,90.00,20.00,1.00
0.25,20.00,22.00,5.00
0.25,20.00,21.00,3.00
0.25,20.00,20.00,1.00
0.25,25.00,22.00,5.00
0.25,25.00,21.00,3.00
0.25,25.00,20.00,1.00
0.25,30.00,22.00,5.00
0.25,30.00,21.00,3.00
0.25,30.00,20.00,1.00
0.25,35.00,22.00,5.00
0.25,35.00,21.00,3.00
0.25,35.00,20.00,1.00
0.25,40.00,22.00,5.00
0.25,40.00,21.00,3.00
0.25,40.00,20.00,1.00
0.25,45.00,22.00,5.00
0.25,45.00,21.00,3.00
0.25,45.00,20.00,1.00
0.25,50.00,22.00,5.00
0.25,50.00,21.00,3.00
0.25,50.00,20.00,1.00
0.25,55.00,22.00,5.00
0.25,55.00,21.00,3.00
0.25,55.00,20.00,1.00
0.25,60.00,22.00,5.00
0.25,60.00,21.00,3.00
0.25,60.00,20.00,1.00
0.25,65.00,22.00,5.00
0.25,65.00,21.00,3.00
0.25,65.00,20.00,1.00
0.25,70.00,22.00,5.00
0.25,70.00,21.00,3.00
0.25,70.00,20.00,1.00
0.25,75.00,22.00,5.00
0.25,75.00,21.00,3.00
0.25,75.00,20.00,1.00
0.25,80.00,22.00,5.00
0.25,80.00,21.00,3.00
0.25,80.00,20.00,1.00
0.25,85.00,22.00,5.00
0.25,85.00,21.00,3.00
0.25,85.00,20.00,1.00
0.25,90.00,22.00,5.00
0.25,90.00,21.00,3.00
0.25,90.00,20.00,1.00
